,index,source,target,weight,counts
0,0,Donald Trump,Jared Kushner,1,3
1,1,Donald Trump,Hope Hicks,1,4
2,2,Donald Trump,Mike Pence,1,4
3,3,Donald Trump,Mark Meadows,1,7
4,4,Donald Trump,Dan Scavino,1,4
5,5,Donald Trump,Jason Miller,1,2
6,6,Hope Hicks,Mike Pence,1,1
7,7,Hope Hicks,Mark Meadows,1,3
8,8,Hope Hicks,Dan Scavino,1,3
9,9,Hope Hicks,Jason Miller,1,2
10,10,Mike Pence,Mark Meadows,1,2
11,11,Mike Pence,Dan Scavino,1,1
12,12,Mike Pence,Jason Miller,1,1
13,13,Mark Meadows,Dan Scavino,1,1
14,14,Mark Meadows,Jason Miller,1,1
15,15,Dan Scavino,Jason Miller,1,2
16,16,Donald Trump,Kelly Loeffler,1,3
17,17,Donald Trump,Brian Kemp,1,1
18,18,Donald Trump,David Perdue,1,1
19,19,Donald Trump,Ben Carson,1,1
20,20,Kelly Loeffler,Brian Kemp,1,1
21,21,Kelly Loeffler,David Perdue,1,1
22,22,Kelly Loeffler,Ben Carson,1,1
23,23,Brian Kemp,David Perdue,1,1
24,24,Brian Kemp,Ben Carson,1,1
25,25,David Perdue,Ben Carson,1,1
26,26,Donald Trump,Ronna McDaniel,1,1
27,27,Donald Trump,Todd Ricketts,1,1
28,28,Donald Trump,Tommy Hicks Jr.,1,1
29,29,Donald Trump,Tiffany Trump,1,5
30,30,Ronna McDaniel,Todd Ricketts,1,1
31,31,Ronna McDaniel,Tommy Hicks Jr.,1,1
32,32,Ronna McDaniel,Tiffany Trump,1,1
33,33,Todd Ricketts,Tommy Hicks Jr.,1,1
34,34,Todd Ricketts,Tiffany Trump,1,1
35,35,Tommy Hicks Jr.,Tiffany Trump,1,1
36,36,Donald Trump,Melania Trump,1,5
37,37,Donald Trump,Chris Christie,1,4
38,38,Donald Trump,Thom Tillis,1,2
39,39,Donald Trump,Mike Lee,1,2
40,40,Donald Trump,John Jenkins,1,2
41,41,Donald Trump,Amy Coney Barrett,1,2
42,42,Donald Trump,Mark Meadows,1,7
43,43,Donald Trump,William Barr,1,2
44,44,Donald Trump,Alex Azar,1,2
45,45,Donald Trump,Josh Hawley,1,2
46,46,Donald Trump,Kelly Loeffler,1,3
47,47,Donald Trump,Ben Sasse,1,2
48,48,Donald Trump,Pat Cipollone,1,2
49,49,Donald Trump,Tiffany Trump,1,5
50,50,Donald Trump,Marsha Blackburn,1,2
51,51,Donald Trump,Mike Crapo,1,2
52,52,Donald Trump,Deb Fischer,1,2
53,53,Melania Trump,Chris Christie,1,2
54,54,Melania Trump,Thom Tillis,1,2
55,55,Melania Trump,Mike Lee,1,2
56,56,Melania Trump,John Jenkins,1,2
57,57,Melania Trump,Amy Coney Barrett,1,2
58,58,Melania Trump,Mark Meadows,1,4
59,59,Melania Trump,William Barr,1,2
60,60,Melania Trump,Alex Azar,1,1
61,61,Melania Trump,Josh Hawley,1,2
62,62,Melania Trump,Kelly Loeffler,1,2
63,63,Melania Trump,Ben Sasse,1,2
64,64,Melania Trump,Pat Cipollone,1,2
65,65,Melania Trump,Tiffany Trump,1,4
66,66,Melania Trump,Marsha Blackburn,1,2
67,67,Melania Trump,Mike Crapo,1,2
68,68,Melania Trump,Deb Fischer,1,2
69,69,Chris Christie,Thom Tillis,1,1
70,70,Chris Christie,Mike Lee,1,1
71,71,Chris Christie,John Jenkins,1,1
72,72,Chris Christie,Amy Coney Barrett,1,2
73,73,Chris Christie,Mark Meadows,1,2
74,74,Chris Christie,William Barr,1,2
75,75,Chris Christie,Alex Azar,1,1
76,76,Chris Christie,Josh Hawley,1,2
77,77,Chris Christie,Kelly Loeffler,1,2
78,78,Chris Christie,Ben Sasse,1,2
79,79,Chris Christie,Pat Cipollone,1,2
80,80,Chris Christie,Tiffany Trump,1,2
81,81,Chris Christie,Marsha Blackburn,1,2
82,82,Chris Christie,Mike Crapo,1,2
83,83,Chris Christie,Deb Fischer,1,2
84,84,Thom Tillis,Mike Lee,1,1
85,85,Thom Tillis,John Jenkins,1,1
86,86,Thom Tillis,Amy Coney Barrett,1,2
87,87,Thom Tillis,Mark Meadows,1,2
88,88,Thom Tillis,William Barr,1,2
89,89,Thom Tillis,Alex Azar,1,1
90,90,Thom Tillis,Josh Hawley,1,2
91,91,Thom Tillis,Kelly Loeffler,1,2
92,92,Thom Tillis,Ben Sasse,1,2
93,93,Thom Tillis,Pat Cipollone,1,2
94,94,Thom Tillis,Tiffany Trump,1,2
95,95,Thom Tillis,Marsha Blackburn,1,2
96,96,Thom Tillis,Mike Crapo,1,2
