,ppl,date,event,combination,source_abb,target_abb,abbrev_x,source,abbrev_y,target,weight
0,"['DT', 'JK']",2020-09-25,Travel to Atlanta and Washington from Florida,"('DT', 'JK')",DT,JK,DT,Donald Trump,JK,Jared Kushner,1
1,"['DT', 'HH', 'MP', 'MM', 'DS', 'JM']",2020-09-25,"Travel to and from Newport News, Va.","('DT', 'HH')",DT,HH,DT,Donald Trump,HH,Hope Hicks,1
2,"['DT', 'HH', 'MP', 'MM', 'DS', 'JM']",2020-09-25,"Travel to and from Newport News, Va.","('DT', 'MP')",DT,MP,DT,Donald Trump,MP,Mike Pence,1
3,"['DT', 'HH', 'MP', 'MM', 'DS', 'JM']",2020-09-25,"Travel to and from Newport News, Va.","('DT', 'MM')",DT,MM,DT,Donald Trump,MM,Mark Meadows,1
4,"['DT', 'HH', 'MP', 'MM', 'DS', 'JM']",2020-09-25,"Travel to and from Newport News, Va.","('DT', 'DS')",DT,DS,DT,Donald Trump,DS,Dan Scavino,1
5,"['DT', 'HH', 'MP', 'MM', 'DS', 'JM']",2020-09-25,"Travel to and from Newport News, Va.","('DT', 'JM')",DT,JM,DT,Donald Trump,JM,Jason Miller,1
6,"['DT', 'HH', 'MP', 'MM', 'DS', 'JM']",2020-09-25,"Travel to and from Newport News, Va.","('HH', 'MP')",HH,MP,HH,Hope Hicks,MP,Mike Pence,1
7,"['DT', 'HH', 'MP', 'MM', 'DS', 'JM']",2020-09-25,"Travel to and from Newport News, Va.","('HH', 'MM')",HH,MM,HH,Hope Hicks,MM,Mark Meadows,1
8,"['DT', 'HH', 'MP', 'MM', 'DS', 'JM']",2020-09-25,"Travel to and from Newport News, Va.","('HH', 'DS')",HH,DS,HH,Hope Hicks,DS,Dan Scavino,1
9,"['DT', 'HH', 'MP', 'MM', 'DS', 'JM']",2020-09-25,"Travel to and from Newport News, Va.","('HH', 'JM')",HH,JM,HH,Hope Hicks,JM,Jason Miller,1
10,"['DT', 'HH', 'MP', 'MM', 'DS', 'JM']",2020-09-25,"Travel to and from Newport News, Va.","('MP', 'MM')",MP,MM,MP,Mike Pence,MM,Mark Meadows,1
11,"['DT', 'HH', 'MP', 'MM', 'DS', 'JM']",2020-09-25,"Travel to and from Newport News, Va.","('MP', 'DS')",MP,DS,MP,Mike Pence,DS,Dan Scavino,1
12,"['DT', 'HH', 'MP', 'MM', 'DS', 'JM']",2020-09-25,"Travel to and from Newport News, Va.","('MP', 'JM')",MP,JM,MP,Mike Pence,JM,Jason Miller,1
13,"['DT', 'HH', 'MP', 'MM', 'DS', 'JM']",2020-09-25,"Travel to and from Newport News, Va.","('MM', 'DS')",MM,DS,MM,Mark Meadows,DS,Dan Scavino,1
14,"['DT', 'HH', 'MP', 'MM', 'DS', 'JM']",2020-09-25,"Travel to and from Newport News, Va.","('MM', 'JM')",MM,JM,MM,Mark Meadows,JM,Jason Miller,1
15,"['DT', 'HH', 'MP', 'MM', 'DS', 'JM']",2020-09-25,"Travel to and from Newport News, Va.","('DS', 'JM')",DS,JM,DS,Dan Scavino,JM,Jason Miller,1
16,"['DT', 'KL', 'BK', 'DP', 'BC']",2020-09-25,Campaign event in Atlanta,"('DT', 'KL')",DT,KL,DT,Donald Trump,KL,Kelly Loeffler,1
17,"['DT', 'KL', 'BK', 'DP', 'BC']",2020-09-25,Campaign event in Atlanta,"('DT', 'BK')",DT,BK,DT,Donald Trump,BK,Brian Kemp,1
18,"['DT', 'KL', 'BK', 'DP', 'BC']",2020-09-25,Campaign event in Atlanta,"('DT', 'DP')",DT,DP,DT,Donald Trump,DP,David Perdue,1
19,"['DT', 'KL', 'BK', 'DP', 'BC']",2020-09-25,Campaign event in Atlanta,"('DT', 'BC')",DT,BC,DT,Donald Trump,BC,Ben Carson,1
20,"['DT', 'KL', 'BK', 'DP', 'BC']",2020-09-25,Campaign event in Atlanta,"('KL', 'BK')",KL,BK,KL,Kelly Loeffler,BK,Brian Kemp,1
21,"['DT', 'KL', 'BK', 'DP', 'BC']",2020-09-25,Campaign event in Atlanta,"('KL', 'DP')",KL,DP,KL,Kelly Loeffler,DP,David Perdue,1
