index,source,target,weight,counts
42,Donald Trump,Mark Meadows,1,7
799,Donald Trump,Mark Meadows,1,7
204,Donald Trump,Mark Meadows,1,7
569,Donald Trump,Mark Meadows,1,7
807,Donald Trump,Mark Meadows,1,7
703,Donald Trump,Mark Meadows,1,7
3,Donald Trump,Mark Meadows,1,7
694,Donald Trump,Kayleigh McEnany,1,6
516,Donald Trump,Kayleigh McEnany,1,6
803,Donald Trump,Kayleigh McEnany,1,6
505,Donald Trump,Kayleigh McEnany,1,6
489,Donald Trump,Kayleigh McEnany,1,6
198,Donald Trump,Kayleigh McEnany,1,6
29,Donald Trump,Tiffany Trump,1,5
515,Donald Trump,Melania Trump,1,5
49,Donald Trump,Tiffany Trump,1,5
557,Donald Trump,Melania Trump,1,5
189,Donald Trump,Melania Trump,1,5
570,Donald Trump,Tiffany Trump,1,5
209,Donald Trump,Tiffany Trump,1,5
705,Donald Trump,Tiffany Trump,1,5
693,Donald Trump,Melania Trump,1,5
36,Donald Trump,Melania Trump,1,5
564,Donald Trump,Dan Scavino,1,4
718,Melania Trump,Tiffany Trump,1,4
558,Donald Trump,Hope Hicks,1,4
584,Melania Trump,Mark Meadows,1,4
58,Melania Trump,Mark Meadows,1,4
140,Mark Meadows,Tiffany Trump,1,4
687,Mark Meadows,Tiffany Trump,1,4
518,Donald Trump,Mike Pence,1,4
716,Melania Trump,Mark Meadows,1,4
585,Melania Trump,Tiffany Trump,1,4
37,Donald Trump,Chris Christie,1,4
536,Donald Trump,Mike Pence,1,4
506,Donald Trump,Chris Christie,1,4
194,Donald Trump,Chris Christie,1,4
491,Donald Trump,Dan Scavino,1,4
2,Donald Trump,Mike Pence,1,4
4,Donald Trump,Dan Scavino,1,4
232,Melania Trump,Tiffany Trump,1,4
227,Melania Trump,Mark Meadows,1,4
1,Donald Trump,Hope Hicks,1,4
202,Donald Trump,Mike Pence,1,4
457,Mark Meadows,Tiffany Trump,1,4
806,Donald Trump,Dan Scavino,1,4
65,Melania Trump,Tiffany Trump,1,4
495,Donald Trump,Chris Christie,1,4
793,Mark Meadows,Tiffany Trump,1,4
496,Donald Trump,Hope Hicks,1,4
801,Donald Trump,Hope Hicks,1,4
565,Donald Trump,Jared Kushner,1,3
497,Donald Trump,Stephen Miller,1,3
502,Hope Hicks,Stephen Miller,1,3
698,Donald Trump,Rudolph Giuliani,1,3
520,Melania Trump,Kayleigh McEnany,1,3
498,Donald Trump,Rudolph Giuliani,1,3
389,Kayleigh McEnany,Mark Meadows,1,3
207,Donald Trump,Kelly Loeffler,1,3
221,Melania Trump,Kayleigh McEnany,1,3
598,Hope Hicks,Mark Meadows,1,3
593,Hope Hicks,Dan Scavino,1,3
589,Hope Hicks,Stephen Miller,1,3
707,Melania Trump,Kayleigh McEnany,1,3
560,Donald Trump,Stephen Miller,1,3
508,Donald Trump,Rudolph Giuliani,1,3
0,Donald Trump,Jared Kushner,1,3
16,Donald Trump,Kelly Loeffler,1,3
813,Hope Hicks,Mark Meadows,1,3
7,Hope Hicks,Mark Meadows,1,3
728,Kayleigh McEnany,Mark Meadows,1,3
8,Hope Hicks,Dan Scavino,1,3
822,Kayleigh McEnany,Mark Meadows,1,3
46,Donald Trump,Kelly Loeffler,1,3
812,Hope Hicks,Dan Scavino,1,3
804,Donald Trump,Stephen Miller,1,3
805,Donald Trump,Jared Kushner,1,3
810,Hope Hicks,Stephen Miller,1,3
454,Mark Meadows,Josh Hawley,1,2
455,Mark Meadows,Kelly Loeffler,1,2
453,Mark Meadows,Ben Sasse,1,2
435,Mike Pence,Mark Meadows,1,2
456,Mark Meadows,Pat Cipollone,1,2
434,Mike Pence,Karen Pence,1,2
706,Donald Trump,Kimberly Guilfoyle,1,2
433,William Barr,Deb Fischer,1,2
821,Kayleigh McEnany,Dan Scavino,1,2
811,Hope Hicks,Jared Kushner,1,2
431,William Barr,Marsha Blackburn,1,2
430,William Barr,Tiffany Trump,1,2
823,Stephen Miller,Jared Kushner,1,2
429,William Barr,Pat Cipollone,1,2
428,William Barr,Kelly Loeffler,1,2
427,William Barr,Josh Hawley,1,2
432,William Barr,Mike Crapo,1,2
458,Mark Meadows,Marsha Blackburn,1,2
422,Amy Coney Barrett,Deb Fischer,1,2
472,Josh Hawley,Mike Crapo,1,2
481,Pat Cipollone,Mike Crapo,1,2
480,Pat Cipollone,Marsha Blackburn,1,2
479,Pat Cipollone,Tiffany Trump,1,2
478,Kelly Loeffler,Deb Fischer,1,2
477,Kelly Loeffler,Mike Crapo,1,2
476,Kelly Loeffler,Marsha Blackburn,1,2
475,Kelly Loeffler,Tiffany Trump,1,2
474,Kelly Loeffler,Pat Cipollone,1,2
473,Josh Hawley,Deb Fischer,1,2
471,Josh Hawley,Marsha Blackburn,1,2
459,Mark Meadows,Mike Crapo,1,2
470,Josh Hawley,Tiffany Trump,1,2
469,Josh Hawley,Pat Cipollone,1,2
468,Josh Hawley,Kelly Loeffler,1,2
467,Ben Sasse,Deb Fischer,1,2
466,Ben Sasse,Mike Crapo,1,2
465,Ben Sasse,Marsha Blackburn,1,2
464,Ben Sasse,Tiffany Trump,1,2
463,Ben Sasse,Pat Cipollone,1,2
460,Mark Meadows,Deb Fischer,1,2
426,William Barr,Ben Sasse,1,2
420,Amy Coney Barrett,Marsha Blackburn,1,2
421,Amy Coney Barrett,Mike Crapo,1,2
483,Tiffany Trump,Marsha Blackburn,1,2
322,Chris Christie,Al Drago,1,2
317,Thom Tillis,Deb Fischer,1,2
316,Thom Tillis,Mike Crapo,1,2
315,Thom Tillis,Marsha Blackburn,1,2
314,Thom Tillis,Tiffany Trump,1,2
313,Thom Tillis,Pat Cipollone,1,2
312,Thom Tillis,Kelly Loeffler,1,2
311,Thom Tillis,Josh Hawley,1,2
310,Thom Tillis,Ben Sasse,1,2
309,Thom Tillis,Mark Meadows,1,2
306,Thom Tillis,William Barr,1,2
305,Thom Tillis,Amy Coney Barrett,1,2
278,John Jenkins,Deb Fischer,1,2
277,John Jenkins,Mike Crapo,1,2
276,John Jenkins,Marsha Blackburn,1,2
275,John Jenkins,Tiffany Trump,1,2
